time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,62,20,0,0
2026-04-21 00:00:00+00:00,48,21,0,0
2026-04-22 00:00:00+00:00,99,30,0,0
2026-04-23 00:00:00+00:00,104,30,0,0
2026-04-24 00:00:00+00:00,70,25,0,0
2026-04-25 00:00:00+00:00,50,22,0,0
2026-04-26 00:00:00+00:00,27,8,0,0
2026-04-27 00:00:00+00:00,33,11,0,0
2026-04-28 00:00:00+00:00,7,2,0,0
2026-04-29 00:00:00+00:00,19,4,0,0
2026-04-30 00:00:00+00:00,39,10,0,0
2026-05-01 00:00:00+00:00,23,5,0,0
2026-05-02 00:00:00+00:00,23,5,0,0
2026-05-03 00:00:00+00:00,20,7,0,0
